Year,Gender,TotalCertificates
2008,Male,2555332
2009,Male,2461232
2010,Male,2417814
2011,Male,2306595
2012,Male,2334595
2013,Male,2437438
2014,Male,2334207
2015,Male,2373108
2016,Male,2371909
2017,Male,2466449
2018,Male,2501556
2019,Male,2534195
2020,Male,2608781
2021,Male,2621511
2022,Male,2620542
2008,Female,2611296
2009,Female,2522233
2010,Female,2476843
2011,Female,2384894
2012,Female,2428252
2013,Female,2547586
2014,Female,2434052
2015,Female,2462604
2016,Female,2444370
2017,Female,2503638
2018,Female,2511808
2019,Female,2536286
2020,Female,2605249
2021,Female,2615347
2022,Female,2599008
2008,All,5166628
2009,All,4983465
2010,All,4894657
2011,All,4691489
2012,All,4762847
2013,All,4985024
2014,All,4768259
2015,All,4835712
2016,All,4816279
2017,All,4970087
2018,All,5013364
2019,All,5070481
2020,All,5214030
2021,All,5236858
2022,All,5219550
